0,1,2
XT T,AxMMUSECSID AxPAS AxMMUPASUNKNOWN,Meaning
0 0,Non-secure Non-secure 0,"Non-trusted request that must
target a Non-secure PAS."
0 1,Realm Realm 1,"Trusted request that can target a
Realm or Non-secure PAS."
1 0,Realm Non-secure 0,"Trusted request that must target
a Non-secure PAS."
1 1,Realm Realm 0,"Trusted request that must target
a Realm PAS."
