0,1
Instruction bit,Meaning when set
"PI
PO","Predecessor device input and memory reads (PR implied)
Predecessor device output and memory writes (PW implied)"
"SI
SO","Successor device input and memory reads (SR implied)
Successor device output and memory writes (SW implied)"
