0,1,2,3,4,5
0001011,rs2,rs1,000,00000,1110011
0001100,00000,00000,000,00000,1110011
0001100,00001,00000,000,00000,1110011
0010011,rs2,rs1,000,00000,1110011
0110011,rs2,rs1,000,00000,1110011
