0,1,2,3,4,5
B,its on pmp,cfg registe,r,Re,sult
1,0,1,0,"Locked Shared code region: E
mo","xecute only on both M and S/U
de.*"
1,0,1,1,"Locked Shared code region
read/execute",": Execute only on S/U mode,
on M mode.*"
1,1,0,0,Locked Read-only region*,Access Exception
1,1,0,1,Locked Read/Execute region*,Access Exception
1,1,1,0,Locked Read/Write region*,Access Exception
1,1,1,1,Locked Shared data region: Rea,d only on both M and S/U mode.*
