0,1,2,3
MPRV,MPV,MPP,Effect
0,-,-,Normal access; current privilege mode applies.
1,0,0,U-level access with HS-level translation and protection only.
1,0,1,HS-level access with HS-level translation and protection only.
1,-,3,M-level access with no translation.
1,1,0,"VU-level access with two-stage translation and protection. The HS-level
MXR bit makes any executable page readable. vsstatus.MXR makes
readable those pages marked executable at the VS translation stage, but
only if readable at the guest-physical translation stage."
1,1,1,"VS-level access with two-stage translation and protection. The HS-level
MXR bit makes any executable page readable. vsstatus.MXR makes
readable those pages marked executable at the VS translation stage, but
only if readable at the guest-physical translation stage. vsstatus.SUM
applies instead of the HS-level SUM bit."
