0,1,2,3
i,pte.ppn[i],Description,pte.napot_bits
"0
0
0
0
0
≥1","x xxxx xxx1
x xxxx xx1x
x xxxx x1xx
x xxxx 1000
x xxxx 0xxx
x xxxx xxxx","Reserved
Reserved
Reserved
64 KiB contiguous region
Reserved
Reserved","-
-
-
4
-
-"
