0,1,2
Module,Version,Status
"Machine ISA
Supervisor ISA
Svnapot Extension
Svpbmt Extension
Svinval Extension
Hypervisor ISA","1.12
1.12
1.0
1.0
1.0
1.0","Ratified
Ratified
Ratified
Ratified
Ratified
Ratified"
