0,1
Field,Description
"M, S, U",Enable transfer recording in the selected privileged mode(s).
RASEMU,Enables RAS (Return Address Stack) Emulation Mode. See Section 11.5.4.
MTE,Enables recording of traps to M-mode when M=0. See Section 11.5.1.2.
STE,Enables recording of traps to S-mode when S=0. See Section 11.5.1.2.
BPFRZ,"Set sctrstatus.FROZEN on a breakpoint exception that traps to M-mode or S-mode. See
Section 11.5.5."
LCOFIFRZ,"Set sctrstatus.FROZEN on local-counter-overflow interrupt (LCOFI) that traps to M-mode
or S-mode. See Section 11.5.5."
EXCINH,Inhibit recording of exceptions. See Section 11.5.2.
INTRINH,Inhibit recording of interrupts. See Section 11.5.2.
TRETINH,Inhibit recording of trap returns. See Section 11.5.2.
NTBREN,Enable recording of not-taken branches. See Section 11.5.2.
TKBRINH,Inhibit recording of taken branches. See Section 11.5.2.
INDCALLINH,Inhibit recording of indirect calls. See Section 11.5.2.
DIRCALLINH,Inhibit recording of direct calls. See Section 11.5.2.
INDJMPINH,Inhibit recording of indirect jumps (without linkage). See Section 11.5.2.
DIRJMPINH,Inhibit recording of direct jumps (without linkage). See Section 11.5.2.
CORSWAPINH,Inhibit recording of co-routine swaps. See Section 11.5.2.
RETINH,Inhibit recording of function returns. See Section 11.5.2.
INDLJMPINH,Inhibit recording of other indirect jumps (with linkage). See Section 11.5.2.
DIRLJMPINH,Inhibit recording of other direct jumps (with linkage). See Section 11.5.2.
Custom[3:0],"WARL bits designated for custom use. The value 0 must correspond to standard behavior.
See Section 11.6."
