0,1,2
Bit,Attribute,Corresponding Exception
"0
1
2
3
4
5
6
7
8
9
10
11
12
13
15
16
18
19
20
21
22
23","(See text)
Writable
Writable
Writable
Writable
Writable
Writable
Writable
Writable
Read-only 0
Read-only 0
Read-only 0
Writable
Writable
Writable
Read-only 0
Writable
Writable
Read-only 0
Read-only 0
Read-only 0
Read-only 0","Instruction address misaligned
Instruction access fault
Illegal instruction
Breakpoint
Load address misaligned
Load access fault
Store/AMO address misaligned
Store/AMO access fault
Environment call from U-mode or VU-mode
Environment call from HS-mode
Environment call from VS-mode
Environment call from M-mode
Instruction page fault
Load page fault
Store/AMO page fault
Double trap
Software check
Hardware error
Instruction guest-page fault
Load guest-page fault
Virtual instruction
Store/AMO guest-page fault"
