0,1,2
Mode,Value,Requested Memory Attributes
"PMA
NC
IO
-","0
1
2
3","None
Non-cacheable, idempotent, weakly-ordered (RVWMO), main memory
Non-cacheable, non-idempotent, strongly-ordered (I/O ordering), I/O
Reserved for future standard use"
