0,1,2,3,4
Exception,Zero,"Transformed
Standard
Instruction",Custom Value,"Pseudoinstructio
n Value"
Instruction address misaligned,Yes,No,Yes,No
"Instruction access fault
Illegal instruction
Breakpoint
Virtual instruction","Yes
Yes
Yes
Yes","No
No
No
No","No
No
Yes
Yes","No
No
No
No"
"Load address misaligned
Load access fault
Store/AMO address misaligned
Store/AMO access fault","Yes
Yes
Yes
Yes","Yes
Yes
Yes
Yes","Yes
Yes
Yes
Yes","No
No
No
No"
Environment call,Yes,No,Yes,No
"Instruction page fault
Load page fault
Store/AMO page fault","Yes
Yes
Yes","No
Yes
Yes","No
Yes
Yes","No
No
No"
"Instruction guest-page fault
Load guest-page fault
Store/AMO guest-page fault","Yes
Yes
Yes","No
Yes
Yes","No
Yes
Yes","Yes
Yes
Yes"
