0,1
Page-based profile,Sv57 on RV64
Effective Address,"0xABFFFFFF12345678
NVBITS[1010101] VBITS[11111111111111111111111110001…000]"
PMLEN,7
Mask,"0x01FFFFFFFFFFFFFF
NVBITS[0000000] VBITS[11111111111111111111111111111…111]"
"PMLEN+1st bit from the top
(i.e., bit XLEN-PMLEN-1)",1
"Transformed effective
address","0xFFFFFFFF12345678
NVBITS[1111111] VBITS[11111111111111111111111110001…000]"
