0,1
Encoding,Transfer Type Name
0,Not used by CTR
1,Exception
2,Interrupt
3,Trap return
4,Not-taken branch
5,Taken branch
6,reserved
7,reserved
8,Indirect call
9,Direct call
10,Indirect jump (without linkage)
11,Direct jump (without linkage)
12,Co-routine swap
13,Function return
14,Other indirect jump (with linkage)
15,Other direct jump (with linkage)
