0,1,2,3
Number,Privilege,Name,Description
"0x250
0x251
0x252
0x253
0x255
0x256
0x257","HRW
HRW
HRW
HRW
HRW
HRW
HRW","vsiselect
vsireg
vsireg2
vsireg3
vsireg4
vsireg5
vsireg6","Virtual supervisor indirect register select.
Virtual supervisor indirect register alias.
Virtual supervisor indirect register alias 2.
Virtual supervisor indirect register alias 3.
Virtual supervisor indirect register alias 4.
Virtual supervisor indirect register alias 5.
Virtual supervisor indirect register alias 6."
,,,Virtual Supervisor Timer Compare
"0x24D
0x25D","HRW
HRW","vstimecmp
vstimecmph","Virtual supervisor timer compare.
Upper 32 bits of vstimecmp, RV32 only."
,,Virtual Supe,rvisor Control Transfer Records Configuration
0x24E,HRW,vsctrctl,Virtual Supervisor Control Transfer Records Control Register.
