0,1,2,3
Number,Privilege,Name,Description
,,Machine C,ontrol Transfer Records Configuration
0x34E,MRW,mctrctl,Machine Control Transfer Records Control Register.
,,Debug/Tra,ce Registers (shared with Debug Mode)
"0x7A0
0x7A1
0x7A2
0x7A3
0x7A8","MRW
MRW
MRW
MRW
MRW","tselect
tdata1
tdata2
tdata3
mcontext","Debug/Trace trigger register select.
First Debug/Trace trigger data register.
Second Debug/Trace trigger data register.
Third Debug/Trace trigger data register.
Machine-mode context register."
,,,Debug Mode Registers
"0x7B0
0x7B1
0x7B2
0x7B3","DRW
DRW
DRW
DRW","dcsr
dpc
dscratch0
dscratch1","Debug control and status register.
Debug program counter.
Debug scratch register 0.
Debug scratch register 1."
