0,1,2,3,4,5,6
vsiselect,vsireg,vsireg2,vsireg3,vsireg4,vsireg5,vsireg6
0x30,iprio0,none,none,none,none,none
…,…,…,…,…,…,…
0x3F,iprio15,none,none,none,none,none
0x70,eidelivery,none,none,none,none,none
0x71,0,none,none,none,none,none
0x72,eithreshold,none,none,none,none,none
0x73,0,none,none,none,none,none
…,…,…,…,…,…,…
0x7F,0,none,none,none,none,none
0x80,eip0,none,none,none,none,none
…,…,…,…,…,…,…
0xBF,eip63,none,none,none,none,none
0xC0,eie0,none,none,none,none,none
…,…,…,…,…,…,…
0xFF,eie63,none,none,none,none,none
0x200,ctrsource0,ctrtarget0,ctrdata0,0,0,0
…,…,…,…,…,…,…
0x2FF,ctrsource255,ctrtarget255,ctrdata255,0,0,0
