0,1
Field,Description
DEPTH,"WARL field that selects the depth of the CTR buffer. Encodings:
‘000 - 16
‘001 - 32
‘010 - 64
‘011 - 128
‘100 - 256
'11x - reserved
The depth of the CTR buffer dictates the number of entries to which the hardware records transfers.
For a depth of N, the hardware records transfers to entries 0..N-1. All Entry Registers read as '0' and
are read-only when the selected entry is in the range N to 255. When the depth is increased, the
newly accessible entries contain unspecified but legal values.
It is implementation-specific which DEPTH value(s) are supported."
