0,1,2
,,SXLEN=32
Value,Name,Description
"0
1","Bare
Sv32","No translation or protection.
Page-based 32-bit virtual addressing (see Section 12.3)."
,,SXLEN=64
Value,Name,Description
"0
1-7
8
9
10
11
12-13
14-15","Bare
-
Sv39
Sv48
Sv57
Sv64
-
-","No translation or protection.
Reserved for standard use
Page-based 39-bit virtual addressing (see Section 12.4).
Page-based 48-bit virtual addressing (see Section 12.5).
Page-based 57-bit virtual addressing (see Section 12.6).
Reserved for page-based 64-bit virtual addressing.
Reserved for standard use
Designated for custom use"
