0,1
Field,Description
S,Enable transfer recording in VS-mode.
U,Enable transfer recording in VU-mode.
STE,Enables recording of traps to VS-mode when S=0. See External Traps..
BPFRZ,Set sctrstatus.FROZEN on a breakpoint exception that traps to VS-mode. See Freeze.
LCOFIFRZ,"Set sctrstatus.FROZEN on local-counter-overflow interrupt (LCOFI) that traps to VS-mode.
See Freeze."
"Other field definitions
implemented in sctrc","match those of sctrctl. The optional fields implemented in vsctrctl should match those
tl."
