0,1,2,3
i,pte.ppn[i],Description,"pte.napot bits
_"
"0
0
0
0
0
…
1
1
…","x xxxx xxx1
x xxxx xx10
x xxxx x100
x xxxx 1000
x xxx1 0000
…
x xxxx xxx1
x xxxx xx10
…","8 KiB contiguous region
16 KiB contiguous region
32 KiB contiguous region
64 KiB contiguous region
128 KiB contiguous region
…
4 MiB contiguous region
8 MiB contiguous region
…","1
2
3
4
5
…
1
2
…"
