0,1,2
Interrupt,Exception Code,Description
"1
1
1
1","0
1
2
3","Reserved
Supervisor software interrupt
Virtual supervisor software interrupt
Machine software interrupt"
"1
1
1
1","4
5
6
7","Reserved
Supervisor timer interrupt
Virtual supervisor timer interrupt
Machine timer interrupt"
"1
1
1
1","8
9
10
11","Reserved
Supervisor external interrupt
Virtual supervisor external interrupt
Machine external interrupt"
"1
1
1
1","12
13
14-15
≥16","Supervisor guest external interrupt
Counter-overflow interrupt
Reserved
Designated for platform use"
