0,1,2
Interrupt,Exception Code,Description
"1
1
1
1
1
1
1
1
1
1","0
1
2-4
5
6-8
9
10-12
13
14-15
≥16","Reserved
Supervisor software interrupt
Reserved
Supervisor timer interrupt
Reserved
Supervisor external interrupt
Reserved
Counter-overflow interrupt
Reserved
Designated for platform use"
