0,1,2
Module,Version,Status
"Machine ISA
Smstateen Extension
Smcsrind/Sscsrind Extension
Smepmp Extension
Smcntrpmf Extension
Smrnmi Extension
Smcdeleg Extension
Smdbltrp Extension
Smctr Extension
Supervisor ISA
Svade Extension
Svnapot Extension
Svpbmt Extension
Svinval Extension
Svadu Extension
Svvptc Extension
Ssqosid Extension
Sstc Extension
Sscofpmf Extension
Ssdbltrp Extension
Ssqosid Extension
Hypervisor ISA
Shlcofideleg Extension
Svvptc Extension
Pointer-Masking Extensions","1.13
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.13
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0","Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified
Ratified"
