0,1
Field,Description
S,Enable transfer recording in VS-mode.
U,Enable transfer recording in VU-mode.
STE,Enables recording of traps to VS-mode when S=0. See Section 11.5.1.2.
BPFRZ,"Set sctrstatus.FROZEN on a breakpoint exception that traps to VS-mode. See Section
11.5.5."
LCOFIFRZ,"Set sctrstatus.FROZEN on local-counter-overflow interrupt (LCOFI) that traps to VS-
mode. See Section 11.5.5."
"Other field definitions
implemented in sctrc","match those of sctrctl. The optional fields implemented in vsctrctl should match those
tl."
