0,1,2
pmpaddr,pmpcfg.A,Match type and size
"yyyy…yyyy
yyyy…yyy0
yyyy…yy01
yyyy…y011
…
yy01…1111
y011…1111
0111…1111
1111…1111","NA4
NAPOT
NAPOT
NAPOT
…
NAPOT
NAPOT
NAPOT
NAPOT","4-byte NAPOT range
8-byte NAPOT range
16-byte NAPOT range
32-byte NAPOT range
…
2XLEN-byte NAPOT range
2XLEN+1-byte NAPOT range
2XLEN+2-byte NAPOT range
2XLEN+3-byte NAPOT range"
