0,1,2,3,4
"Virtualization
Mode (V)",Nominal Privilege,Abbreviation,Name,"Two-Stage
Translation"
"0
0
0","U
S
M","U-mode
HS-mode
M-mode","User mode
Hypervisor-extended
supervisor mode
Machine mode","Off
Off
Off"
"1
1","U
S","VU-mode
VS-mode","Virtual user mode
Virtual supervisor
mode","On
On"
