0,1,2,3
X,W,R,Meaning
"0
0
0
0
1
1
1
1","0
0
1
1
0
0
1
1","0
1
0
1
0
1
0
1","Pointer to next level of page table.
Read-only page.
Reserved for future use.
Read-write page.
Execute-only page.
Read-execute page.
Reserved for future use.
Read-write-execute page."
