0,1,2,3
Number,Privilege,Name,Description
"0x30C
0x30D
0x30E
0x30F
0x31C
0x31D
0x31E
0x31F","MRW
MRW
MRW
MRW
MRW
MRW
MRW
MRW","mstateen0
mstateen1
mstateen2
mstateen3
mstateen0h
mstateen1h
mstateen2h
mstateen3h","Machine State Enable 0 Register.
Machine State Enable 1 Register.
Machine State Enable 2 Register.
Machine State Enable 3 Register.
Upper 32 bits of Machine State Enable 0 Register, RV32 only.
Upper 32 bits of Machine State Enable 1 Register, RV32 only.
Upper 32 bits of Machine State Enable 2 Register, RV32 only.
Upper 32 bits of Machine State Enable 3 Register, RV32 only."
